t1= 18.7466, c1= 4.48599, s= 33.4994, t2= 18.6858, lat=43 26.2119 N, lon=062 10.8166 W, hms=001613, dmy=081018
t1= 18.7466, c1= 4.48597, s= 33.4992, t2= 18.6808, lat=43 26.2148 N, lon=062 10.7892 W, hms=001623, dmy=081018
t1= 18.7440, c1= 4.48559, s= 33.4982, t2= 18.6791, lat=43 26.2177 N, lon=062 10.7618 W, hms=001633, dmy=081018
t1= 18.7404, c1= 4.48506, s= 33.4967, t2= 18.6774, lat=43 26.2202 N, lon=062 10.7344 W, hms=001643, dmy=081018
t1= 18.7380, c1= 4.48471, s= 33.4957, t2= 18.6723, lat=43 26.2223 N, lon=062 10.7069 W, hms=001653, dmy=081018
t1= 18.7365, c1= 4.48446, s= 33.4948, t2= 18.6706, lat=43 26.2242 N, lon=062 10.6794 W, hms=001703, dmy=081018
t1= 18.7323, c1= 4.48391, s= 33.4936, t2= 18.6701, lat=43 26.2259 N, lon=062 10.6520 W, hms=001713, dmy=081018
t1= 18.7303, c1= 4.48361, s= 33.4927, t2= 18.6687, lat=43 26.2277 N, lon=062 10.6246 W, hms=001723, dmy=081018
t1= 18.7288, c1= 4.48342, s= 33.4924, t2= 18.6686, lat=43 26.2294 N, lon=062 10.5971 W, hms=001733, dmy=081018
t1= 18.7285, c1= 4.48333, s= 33.4919, t2= 18.6643, lat=43 26.2314 N, lon=062 10.5697 W, hms=001743, dmy=081018
t1= 18.7278, c1= 4.48318, s= 33.4911, t2= 18.6616, lat=43 26.2336 N, lon=062 10.5423 W, hms=001753, dmy=081018
t1= 18.7245, c1= 4.48266, s= 33.4895, t2= 18.6639, lat=43 26.2359 N, lon=062 10.5149 W, hms=001803, dmy=081018
t1= 18.7226, c1= 4.48241, s= 33.4890, t2= 18.6663, lat=43 26.2381 N, lon=062 10.4874 W, hms=001813, dmy=081018
t1= 18.7234, c1= 4.48241, s= 33.4883, t2= 18.6688, lat=43 26.2403 N, lon=062 10.4599 W, hms=001823, dmy=081018
t1= 18.7254, c1= 4.48264, s= 33.4886, t2= 18.6714, lat=43 26.2426 N, lon=062 10.4325 W, hms=001833, dmy=081018
t1= 18.7275, c1= 4.48288, s= 33.4889, t2= 18.6817, lat=43 26.2450 N, lon=062 10.4052 W, hms=001843, dmy=081018
t1= 18.7297, c1= 4.48320, s= 33.4898, t2= 18.6808, lat=43 26.2472 N, lon=062 10.3776 W, hms=001853, dmy=081018
t1= 18.7378, c1= 4.48403, s= 33.4902, t2= 18.6846, lat=43 26.2491 N, lon=062 10.3499 W, hms=001903, dmy=081018
t1= 18.7395, c1= 4.48435, s= 33.4914, t2= 18.6899, lat=43 26.2509 N, lon=062 10.3221 W, hms=001913, dmy=081018
t1= 18.7429, c1= 4.48491, s= 33.4934, t2= 18.6945, lat=43 26.2529 N, lon=062 10.2945 W, hms=001923, dmy=081018
t1= 18.7470, c1= 4.48553, s= 33.4952, t2= 18.6997, lat=43 26.2553 N, lon=062 10.2670 W, hms=001933, dmy=081018
t1= 18.7518, c1= 4.48617, s= 33.4967, t2= 18.7109, lat=43 26.2577 N, lon=062 10.2395 W, hms=001943, dmy=081018
t1= 18.7548, c1= 4.48666, s= 33.4984, t2= 18.7209, lat=43 26.2599 N, lon=062 10.2119 W, hms=001953, dmy=081018
t1= 18.7618, c1= 4.48788, s= 33.5029, t2= 18.7399, lat=43 26.2620 N, lon=062 10.1843 W, hms=002003, dmy=081018
t1= 18.7717, c1= 4.48932, s= 33.5069, t2= 18.7540, lat=43 26.2640 N, lon=062 10.1567 W, hms=002013, dmy=081018
t1= 18.7878, c1= 4.49177, s= 33.5143, t2= 18.7666, lat=43 26.2658 N, lon=062 10.1291 W, hms=002023, dmy=081018
t1= 18.8035, c1= 4.49376, s= 33.5181, t2= 18.7758, lat=43 26.2678 N, lon=062 10.1016 W, hms=002034, dmy=081018
t1= 18.8156, c1= 4.49536, s= 33.5217, t2= 18.7811, lat=43 26.2696 N, lon=062 10.0741 W, hms=002044, dmy=081018
t1= 18.8251, c1= 4.49653, s= 33.5238, t2= 18.7847, lat=43 26.2713 N, lon=062 10.0467 W, hms=002054, dmy=081018
t1= 18.8313, c1= 4.49733, s= 33.5254, t2= 18.7953, lat=43 26.2733 N, lon=062 10.0190 W, hms=002104, dmy=081018
t1= 18.8372, c1= 4.49802, s= 33.5264, t2= 18.8028, lat=43 26.2753 N, lon=062 09.9915 W, hms=002114, dmy=081018
t1= 18.8464, c1= 4.49922, s= 33.5290, t2= 18.8107, lat=43 26.2775 N, lon=062 09.9636 W, hms=002124, dmy=081018
t1= 18.8549, c1= 4.50037, s= 33.5316, t2= 18.8221, lat=43 26.2795 N, lon=062 09.9356 W, hms=002134, dmy=081018
t1= 18.8628, c1= 4.50152, s= 33.5349, t2= 18.8308, lat=43 26.2814 N, lon=062 09.9075 W, hms=002144, dmy=081018
t1= 18.8722, c1= 4.50279, s= 33.5378, t2= 18.8307, lat=43 26.2835 N, lon=062 09.8794 W, hms=002154, dmy=081018
t1= 18.8809, c1= 4.50381, s= 33.5392, t2= 18.8219, lat=43 26.2856 N, lon=062 09.8514 W, hms=002204, dmy=081018
t1= 18.8831, c1= 4.50377, s= 33.5371, t2= 18.8146, lat=43 26.2875 N, lon=062 09.8236 W, hms=002214, dmy=081018
t1= 18.8765, c1= 4.50279, s= 33.5343, t2= 18.8128, lat=43 26.2894 N, lon=062 09.7959 W, hms=002224, dmy=081018
t1= 18.8713, c1= 4.50210, s= 33.5327, t2= 18.8095, lat=43 26.2913 N, lon=062 09.7682 W, hms=002234, dmy=081018
t1= 18.8692, c1= 4.50166, s= 33.5308, t2= 18.8120, lat=43 26.2933 N, lon=062 09.7409 W, hms=002243, dmy=081018
t1= 18.8670, c1= 4.50132, s= 33.5298, t2= 18.8069, lat=43 26.2954 N, lon=062 09.7136 W, hms=002254, dmy=081018
t1= 18.8671, c1= 4.50128, s= 33.5293, t2= 18.8117, lat=43 26.2974 N, lon=062 09.6863 W, hms=002303, dmy=081018
t1= 18.8647, c1= 4.50087, s= 33.5278, t2= 18.8116, lat=43 26.2994 N, lon=062 09.6590 W, hms=002313, dmy=081018
t1= 18.8676, c1= 4.50109, s= 33.5274, t2= 18.8193, lat=43 26.3015 N, lon=062 09.6317 W, hms=002323, dmy=081018
t1= 18.8682, c1= 4.50112, s= 33.5271, t2= 18.8260, lat=43 26.3036 N, lon=062 09.6045 W, hms=002334, dmy=081018
t1= 18.8741, c1= 4.50156, s= 33.5260, t2= 18.8320, lat=43 26.3057 N, lon=062 09.5774 W, hms=002343, dmy=081018
t1= 18.8804, c1= 4.50211, s= 33.5254, t2= 18.8378, lat=43 26.3080 N, lon=062 09.5503 W, hms=002353, dmy=081018
t1= 18.8872, c1= 4.50266, s= 33.5245, t2= 18.8436, lat=43 26.3102 N, lon=062 09.5232 W, hms=002403, dmy=081018
t1= 18.8922, c1= 4.50313, s= 33.5244, t2= 18.8482, lat=43 26.3122 N, lon=062 09.4959 W, hms=002413, dmy=081018
t1= 18.8965, c1= 4.50351, s= 33.5241, t2= 18.8553, lat=43 26.3142 N, lon=062 09.4686 W, hms=002423, dmy=081018
t1= 18.9017, c1= 4.50396, s= 33.5237, t2= 18.8580, lat=43 26.3162 N, lon=062 09.4411 W, hms=002433, dmy=081018
t1= 18.9072, c1= 4.50451, s= 33.5237, t2= 18.8625, lat=43 26.3183 N, lon=062 09.4136 W, hms=002443, dmy=081018
t1= 18.9114, c1= 4.50491, s= 33.5237, t2= 18.8677, lat=43 26.3205 N, lon=062 09.3860 W, hms=002453, dmy=081018
t1= 18.9155, c1= 4.50531, s= 33.5237, t2= 18.8708, lat=43 26.3228 N, lon=062 09.3585 W, hms=002503, dmy=081018
t1= 18.9205, c1= 4.50578, s= 33.5236, t2= 18.8715, lat=43 26.3250 N, lon=062 09.3308 W, hms=002513, dmy=081018
t1= 18.9239, c1= 4.50609, s= 33.5234, t2= 18.8742, lat=43 26.3270 N, lon=062 09.3033 W, hms=002523, dmy=081018
t1= 18.9258, c1= 4.50627, s= 33.5234, t2= 18.8756, lat=43 26.3289 N, lon=062 09.2757 W, hms=002533, dmy=081018
t1= 18.9281, c1= 4.50650, s= 33.5234, t2= 18.8790, lat=43 26.3305 N, lon=062 09.2482 W, hms=002543, dmy=081018
t1= 18.9298, c1= 4.50670, s= 33.5236, t2= 18.8800, lat=43 26.3320 N, lon=062 09.2209 W, hms=002553, dmy=081018
t1= 18.9327, c1= 4.50695, s= 33.5234, t2= 18.8811, lat=43 26.3336 N, lon=062 09.1938 W, hms=002603, dmy=081018
t1= 18.9342, c1= 4.50713, s= 33.5237, t2= 18.8817, lat=43 26.3354 N, lon=062 09.1667 W, hms=002613, dmy=081018
t1= 18.9352, c1= 4.50727, s= 33.5240, t2= 18.8832, lat=43 26.3374 N, lon=062 09.1395 W, hms=002623, dmy=081018
t1= 18.9365, c1= 4.50734, s= 33.5236, t2= 18.8827, lat=43 26.3395 N, lon=062 09.1122 W, hms=002633, dmy=081018
t1= 18.9378, c1= 4.50745, s= 33.5235, t2= 18.8812, lat=43 26.3415 N, lon=062 09.0851 W, hms=002643, dmy=081018
t1= 18.9386, c1= 4.50750, s= 33.5232, t2= 18.8810, lat=43 26.3434 N, lon=062 09.0580 W, hms=002653, dmy=081018
t1= 18.9365, c1= 4.50740, s= 33.5241, t2= 18.8835, lat=43 26.3451 N, lon=062 09.0307 W, hms=002703, dmy=081018
t1= 18.9383, c1= 4.50756, s= 33.5240, t2= 18.8806, lat=43 26.3466 N, lon=062 09.0032 W, hms=002713, dmy=081018
t1= 18.9395, c1= 4.50765, s= 33.5238, t2= 18.8798, lat=43 26.3482 N, lon=062 08.9755 W, hms=002723, dmy=081018
t1= 18.9364, c1= 4.50734, s= 33.5237, t2= 18.8780, lat=43 26.3499 N, lon=062 08.9477 W, hms=002733, dmy=081018
t1= 18.9348, c1= 4.50721, s= 33.5239, t2= 18.8769, lat=43 26.3519 N, lon=062 08.9200 W, hms=002743, dmy=081018
t1= 18.9342, c1= 4.50712, s= 33.5236, t2= 18.8757, lat=43 26.3543 N, lon=062 08.8923 W, hms=002753, dmy=081018
t1= 18.9332, c1= 4.50702, s= 33.5236, t2= 18.8724, lat=43 26.3566 N, lon=062 08.8646 W, hms=002803, dmy=081018
t1= 18.9319, c1= 4.50686, s= 33.5233, t2= 18.8698, lat=43 26.3588 N, lon=062 08.8371 W, hms=002813, dmy=081018
t1= 18.9293, c1= 4.50656, s= 33.5230, t2= 18.8683, lat=43 26.3608 N, lon=062 08.8098 W, hms=002823, dmy=081018
t1= 18.9271, c1= 4.50634, s= 33.5229, t2= 18.8663, lat=43 26.3626 N, lon=062 08.7823 W, hms=002833, dmy=081018
t1= 18.9256, c1= 4.50613, s= 33.5224, t2= 18.8641, lat=43 26.3644 N, lon=062 08.7551 W, hms=002843, dmy=081018
t1= 18.9233, c1= 4.50589, s= 33.5222, t2= 18.8611, lat=43 26.3663 N, lon=062 08.7281 W, hms=002853, dmy=081018
t1= 18.9215, c1= 4.50560, s= 33.5213, t2= 18.8592, lat=43 26.3680 N, lon=062 08.7009 W, hms=002903, dmy=081018
t1= 18.9189, c1= 4.50532, s= 33.5211, t2= 18.8578, lat=43 26.3698 N, lon=062 08.6737 W, hms=002913, dmy=081018
t1= 18.9169, c1= 4.50503, s= 33.5202, t2= 18.8580, lat=43 26.3715 N, lon=062 08.6462 W, hms=002923, dmy=081018
t1= 18.9156, c1= 4.50489, s= 33.5201, t2= 18.8588, lat=43 26.3730 N, lon=062 08.6188 W, hms=002933, dmy=081018
t1= 18.9151, c1= 4.50482, s= 33.5200, t2= 18.8612, lat=43 26.3746 N, lon=062 08.5914 W, hms=002943, dmy=081018
t1= 18.9172, c1= 4.50502, s= 33.5199, t2= 18.8595, lat=43 26.3763 N, lon=062 08.5638 W, hms=002953, dmy=081018
t1= 18.9196, c1= 4.50518, s= 33.5193, t2= 18.8595, lat=43 26.3783 N, lon=062 08.5362 W, hms=003003, dmy=081018
t1= 18.9174, c1= 4.50500, s= 33.5196, t2= 18.8597, lat=43 26.3802 N, lon=062 08.5088 W, hms=003013, dmy=081018
t1= 18.9169, c1= 4.50502, s= 33.5202, t2= 18.8593, lat=43 26.3819 N, lon=062 08.4815 W, hms=003023, dmy=081018
t1= 18.9172, c1= 4.50500, s= 33.5197, t2= 18.8607, lat=43 26.3832 N, lon=062 08.4543 W, hms=003033, dmy=081018
t1= 18.9166, c1= 4.50496, s= 33.5199, t2= 18.8581, lat=43 26.3847 N, lon=062 08.4273 W, hms=003043, dmy=081018
t1= 18.9176, c1= 4.50500, s= 33.5194, t2= 18.8593, lat=43 26.3864 N, lon=062 08.4003 W, hms=003053, dmy=081018
t1= 18.9160, c1= 4.50487, s= 33.5196, t2= 18.8617, lat=43 26.3881 N, lon=062 08.3731 W, hms=003103, dmy=081018
t1= 18.9163, c1= 4.50505, s= 33.5209, t2= 18.8648, lat=43 26.3897 N, lon=062 08.3458 W, hms=003113, dmy=081018
t1= 18.9184, c1= 4.50540, s= 33.5221, t2= 18.8678, lat=43 26.3912 N, lon=062 08.3184 W, hms=003123, dmy=081018
t1= 18.9210, c1= 4.50582, s= 33.5235, t2= 18.8683, lat=43 26.3930 N, lon=062 08.2910 W, hms=003133, dmy=081018
t1= 18.9235, c1= 4.50616, s= 33.5243, t2= 18.8687, lat=43 26.3948 N, lon=062 08.2636 W, hms=003143, dmy=081018
t1= 18.9246, c1= 4.50623, s= 33.5240, t2= 18.8671, lat=43 26.3970 N, lon=062 08.2364 W, hms=003153, dmy=081018
t1= 18.9254, c1= 4.50634, s= 33.5243, t2= 18.8662, lat=43 26.3992 N, lon=062 08.2091 W, hms=003203, dmy=081018
t1= 18.9243, c1= 4.50625, s= 33.5244, t2= 18.8698, lat=43 26.4012 N, lon=062 08.1821 W, hms=003213, dmy=081018
