t1= 11.7841, c1= 3.78942, s= 33.1446, t2= 11.7169, lat=47 06.1959 N, lon=045 26.9496 W, hms=003941, dmy=121018
t1= 11.7854, c1= 3.78953, s= 33.1445, t2= 11.7178, lat=47 06.2258 N, lon=045 26.8549 W, hms=004007, dmy=121018
t1= 11.7834, c1= 3.78939, s= 33.1450, t2= 11.7180, lat=47 06.2565 N, lon=045 26.7592 W, hms=004033, dmy=121018
t1= 11.7845, c1= 3.78947, s= 33.1448, t2= 11.7192, lat=47 06.2856 N, lon=045 26.6655 W, hms=004059, dmy=121018
t1= 11.7852, c1= 3.78957, s= 33.1451, t2= 11.7187, lat=47 06.3184 N, lon=045 26.5726 W, hms=004125, dmy=121018
t1= 11.7853, c1= 3.78957, s= 33.1450, t2= 11.7145, lat=47 06.3532 N, lon=045 26.4789 W, hms=004151, dmy=121018
t1= 11.7849, c1= 3.78955, s= 33.1452, t2= 11.7126, lat=47 06.3895 N, lon=045 26.3834 W, hms=004217, dmy=121018
t1= 11.7820, c1= 3.78929, s= 33.1452, t2= 11.7114, lat=47 06.4245 N, lon=045 26.2824 W, hms=004243, dmy=121018
t1= 11.7807, c1= 3.78908, s= 33.1443, t2= 11.7098, lat=47 06.4617 N, lon=045 26.1822 W, hms=004309, dmy=121018
t1= 11.7784, c1= 3.78888, s= 33.1445, t2= 11.7089, lat=47 06.5010 N, lon=045 26.0838 W, hms=004335, dmy=121018
t1= 11.7770, c1= 3.78874, s= 33.1444, t2= 11.7116, lat=47 06.5411 N, lon=045 25.9812 W, hms=004401, dmy=121018
t1= 11.7765, c1= 3.78867, s= 33.1441, t2= 11.7089, lat=47 06.5774 N, lon=045 25.8711 W, hms=004427, dmy=121018
t1= 11.7782, c1= 3.78878, s= 33.1436, t2= 11.7090, lat=47 06.6070 N, lon=045 25.7612 W, hms=004453, dmy=121018
t1= 11.7769, c1= 3.78865, s= 33.1435, t2= 11.7219, lat=47 06.6252 N, lon=045 25.6525 W, hms=004519, dmy=121018
t1= 11.7783, c1= 3.78878, s= 33.1436, t2= 11.7166, lat=47 06.6433 N, lon=045 25.5511 W, hms=004545, dmy=121018
t1= 11.7843, c1= 3.78933, s= 33.1436, t2= 11.7208, lat=47 06.6721 N, lon=045 25.4575 W, hms=004611, dmy=121018
t1= 11.7848, c1= 3.78933, s= 33.1432, t2= 11.7201, lat=47 06.7058 N, lon=045 25.3601 W, hms=004637, dmy=121018
t1= 11.7867, c1= 3.78953, s= 33.1433, t2= 11.7234, lat=47 06.7419 N, lon=045 25.2660 W, hms=004703, dmy=121018
t1= 11.7997, c1= 3.79029, s= 33.1392, t2= 11.7400, lat=47 06.7789 N, lon=045 25.1692 W, hms=004730, dmy=121018
t1= 11.8081, c1= 3.79104, s= 33.1390, t2= 11.7410, lat=47 06.8159 N, lon=045 25.0751 W, hms=004756, dmy=121018
t1= 11.8080, c1= 3.79105, s= 33.1391, t2= 11.7413, lat=47 06.8587 N, lon=045 24.9900 W, hms=004822, dmy=121018
t1= 11.8072, c1= 3.79095, s= 33.1389, t2= 11.7420, lat=47 06.9016 N, lon=045 24.9070 W, hms=004848, dmy=121018
t1= 11.8065, c1= 3.79089, s= 33.1390, t2= 11.7479, lat=47 06.9428 N, lon=045 24.8241 W, hms=004914, dmy=121018
t1= 11.8100, c1= 3.79120, s= 33.1389, t2= 11.7446, lat=47 06.9820 N, lon=045 24.7376 W, hms=004940, dmy=121018
t1= 11.8125, c1= 3.79140, s= 33.1385, t2= 11.7483, lat=47 07.0237 N, lon=045 24.6523 W, hms=005006, dmy=121018
t1= 11.8112, c1= 3.79122, s= 33.1380, t2= 11.7451, lat=47 07.0662 N, lon=045 24.5691 W, hms=005032, dmy=121018
t1= 11.8123, c1= 3.79134, s= 33.1382, t2= 11.7420, lat=47 07.1016 N, lon=045 24.4816 W, hms=005058, dmy=121018
t1= 11.8130, c1= 3.79132, s= 33.1374, t2= 11.7405, lat=47 07.1379 N, lon=045 24.3968 W, hms=005124, dmy=121018
t1= 11.8092, c1= 3.79090, s= 33.1367, t2= 11.7406, lat=47 07.1730 N, lon=045 24.3145 W, hms=005150, dmy=121018
t1= 11.8072, c1= 3.79071, s= 33.1366, t2= 11.7422, lat=47 07.2116 N, lon=045 24.2316 W, hms=005216, dmy=121018
t1= 11.8072, c1= 3.79067, s= 33.1362, t2= 11.7440, lat=47 07.2539 N, lon=045 24.1492 W, hms=005242, dmy=121018
t1= 11.8080, c1= 3.79074, s= 33.1361, t2= 11.7469, lat=47 07.2948 N, lon=045 24.0612 W, hms=005308, dmy=121018
t1= 11.8101, c1= 3.79084, s= 33.1353, t2= 11.7477, lat=47 07.3330 N, lon=045 23.9663 W, hms=005334, dmy=121018
t1= 11.8119, c1= 3.79107, s= 33.1359, t2= 11.7609, lat=47 07.3692 N, lon=045 23.8645 W, hms=005400, dmy=121018
t1= 11.8138, c1= 3.79120, s= 33.1355, t2= 11.7588, lat=47 07.3990 N, lon=045 23.7608 W, hms=005426, dmy=121018
t1= 11.8220, c1= 3.79196, s= 33.1356, t2= 11.7589, lat=47 07.4232 N, lon=045 23.6553 W, hms=005452, dmy=121018
